rpc,relation,object_type,deriver,identities,source_proto_file,mode
/gibson.pluginadmin.v1.PluginAdminService/EditPluginSecretBinding,admin,tenant,tenant_from_identity,USER,gibson/pluginadmin/v1/plugin_admin.proto,rule
/gibson.pluginadmin.v1.PluginAdminService/GetPluginInstall,member,tenant,tenant_from_identity,USER,gibson/pluginadmin/v1/plugin_admin.proto,rule
/gibson.pluginadmin.v1.PluginAdminService/ListPluginInstalls,member,tenant,tenant_from_identity,USER,gibson/pluginadmin/v1/plugin_admin.proto,rule
/gibson.pluginadmin.v1.PluginAdminService/RegisterPlugin,admin,tenant,tenant_from_identity,USER,gibson/pluginadmin/v1/plugin_admin.proto,rule
/gibson.pluginadmin.v1.PluginAdminService/RevokePluginSecretBinding,admin,tenant,tenant_from_identity,USER,gibson/pluginadmin/v1/plugin_admin.proto,rule
/gibson.session.v1.SessionService/ListMySessions,member,tenant,tenant_from_identity,USER,gibson/session/v1/session.proto,rule
/gibson.session.v1.SessionService/RevokeMySession,member,tenant,tenant_from_identity,USER,gibson/session/v1/session.proto,rule
/gibson.tenant.v1.BudgetService/GetBudget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.BudgetService/GetTenantBudgetDefaults,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.BudgetService/ListBudgetStatus,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.BudgetService/ListBudgets,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.BudgetService/SetBudget,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.BudgetService/SetTenantBudgetDefaults,member,tenant,tenant_from_identity,USER|SERVICE,gibson/tenant/v1/budget.proto,rule
/gibson.tenant.v1.GrantsService/DeleteAgentGrants,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/grants.proto,rule
/gibson.tenant.v1.GrantsService/ListActiveGrants,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/grants.proto,rule
/gibson.tenant.v1.GrantsService/WriteAgentGrants,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/grants.proto,rule
/gibson.tenant.v1.MembershipService/AcceptInvitation,,,,,gibson/tenant/v1/membership.proto,unauthenticated
/gibson.tenant.v1.MembershipService/AddTeamMember,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/membership.proto,rule
/gibson.tenant.v1.MembershipService/CancelInvitation,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/membership.proto,rule
/gibson.tenant.v1.MembershipService/CreateTeam,admin,tenant,tenant_from_identity,USER,gibson/tenant/v1/membership.proto,rule
