rpc,relation,object_type,deriver,identities,unauthenticated,source_proto_file
/gibson.harness.v1.HarnessCallbackService/CancelMission,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/CreateGraphRelationship,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/CreateMission,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/DelegateToAgent,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/FindSimilarAttacks,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/FindSimilarFindings,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GenerateNodeID,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetAttackChains,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetCredential,can_resolve,secret,tenant_and_field('Name'),COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetFindings,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetMissionResults,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetMissionStatus,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetPlanContext,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetRelatedFindings,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GetTaxonomySchema,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GraphRAGHealth,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/GraphRAGQuery,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LLMComplete,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LLMCompleteStructured,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LLMCompleteWithTools,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LLMStream,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ListAgents,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ListMissions,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ListPlugins,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ListTools,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LongTermMemoryDelete,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LongTermMemorySearch,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/LongTermMemoryStore,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MemoryDelete,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MemoryGet,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MemoryList,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MemorySet,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MissionMemoryContinuityMode,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MissionMemoryGetPreviousRunValue,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MissionMemoryGetValueHistory,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MissionMemoryHistory,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/MissionMemorySearch,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/QueryNodes,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/QueryPlugin,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/QueueToolWork,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/RecordSpan,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/RecordSpans,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/ReportStepHints,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/RunMission,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/StoreGraphBatch,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/StoreGraphNode,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
/gibson.harness.v1.HarnessCallbackService/StoreNode,can_use,component,system_tenant,COMPONENT,false,gibson/harness/v1/harness_callback.proto
